"Source:","C:\Users\Alyssa\Documents\Dan\Guitar\KiCad\Cherry_Fizz_v2\Cherry_Fizz_v2-Tone_Bypass_Knob.sch"
"Date:","6/20/2020 1:54:49 PM"
"Tool:","Eeschema (5.1.6)-1"
"Component Count:","50"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"Bypass1","A250k","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~","",""
"C1",".1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C2","470p","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C3",".1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C4",".1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C5",".047u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C6","470p","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C7",".1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C8",".047u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C9","470p","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C10",".0047u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C11",".01u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C12",".1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C13",".1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C14","1u","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","",""
"C15","100u","","~","",""
"D1","1n914","Diode_THT:D_A-405_P7.62mm_Horizontal","~","",""
"D2","1N914","Diode_THT:D_A-405_P7.62mm_Horizontal","~","",""
"D3","1N914","Diode_THT:D_A-405_P7.62mm_Horizontal","~","",""
"D4","1N914","Diode_THT:D_A-405_P7.62mm_Horizontal","~","",""
"Q1","BC337","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","",""
"Q2","BC549","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"Q3","BC549","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"Q4","BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"R1","39k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R2","470k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R3","100k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R4","390","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R5","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R6","1k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R7","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R8","470k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R9","100k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R10","390","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R11","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R12","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R13","470K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R14","100k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R15","390","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R16","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R17","39k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R18","22k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R19","470k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R20","100k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R21","2.2K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R22","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"R23","1.2M","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","",""
"Sustain1","A50k","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~","",""
"Tone1","B100k","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~","",""
"Volume1","A100k","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~","",""
